#Longitude	Latitude
306.91	-33.467
307.42	-32.914
307.59	-32.460
307.99	-32.061
308.73	-31.637
309.18	-31.061
309.62	-30.539
309.84	-30.000
	
302.35	-30.281
302.38	-30.236
	
347.69	-37.185
	
347.28	-37.383
	
347.45	-37.478
	
350.02	-40.399
	
333.64	-58.409
333.56	-58.403
333.64	-58.409
	
11.626	-17.316
11.659	-16.319
12.177	-14.428
12.817	-13.062
13.666	-11.795
13.699	-11.035
	
16.433	-28.666
15.584	-27.945
15.000	-26.538
14.757	-25.243
14.383	-23.833
14.195	-22.244
13.291	-20.864
12.652	-19.606
11.968	-18.643
11.615	-17.580
11.626	-17.316
	
17.044	-30.000
16.433	-28.666
	
26.942	-17.834
26.997	-17.744
27.074	-17.649
27.170	-17.568
27.198	-17.434
27.264	-17.322
27.351	-17.231
27.435	-17.137
27.497	-17.022
27.585	-16.931
27.664	-16.831
27.795	-16.785
27.938	-16.775
28.011	-16.670
28.113	-16.593
28.227	-16.526
28.376	-16.530
28.528	-16.532
28.674	-16.556
28.793	-16.618
28.840	-16.728
28.728	-16.794
28.601	-16.800
28.461	-16.757
28.355	-16.824
28.241	-16.820
28.124	-16.880
28.009	-16.945
27.986	-17.072
27.874	-17.077
27.755	-17.139
27.682	-17.243
27.570	-17.310
27.490	-17.407
27.401	-17.496
27.311	-17.585
27.216	-17.669
27.139	-17.766
27.035	-17.841
26.953	-17.839
	
29.697	-4.3810
29.906	-6.0366
30.000	-6.2297
	
29.333	-3.3857
29.697	-4.3810
	
29.333	-3.3857
29.156	-5.0879
30.000	-6.8253
	
13.699	-11.035
13.059	-9.1889
12.949	-7.6322
12.288	-6.2459
	
12.288	-6.2459
12.222	-5.8381
	
12.222	-5.8381
11.968	-5.0658
	
11.968	-5.0658
11.075	-3.9720
	
11.075	-3.9720
9.5645	-2.2787
8.9581	-0.69430
9.6137	0.0000
	
5.5903	-1.3608
5.6262	-1.4759
5.5903	-1.3608
	
32.817	-26.736
32.222	-28.666
31.009	-29.805
30.845	-30.000
	
40.496	-10.391
40.583	-11.177
40.347	-13.072
40.535	-14.192
40.480	-15.403
39.708	-16.362
37.889	-17.358
36.566	-18.318
35.750	-19.031
34.592	-20.449
35.231	-21.813
35.320	-23.438
34.978	-24.651
32.773	-25.603
32.839	-26.597
32.817	-26.736
	
34.015	-9.5681
34.404	-9.7878
34.576	-10.248
34.662	-10.680
34.691	-10.991
34.799	-11.259
34.972	-11.471
34.986	-11.555
	
34.986	-11.555
34.893	-11.943
34.706	-12.435
34.778	-12.891
34.806	-13.284
34.857	-13.501
34.878	-13.515
	
43.354	-11.328
43.405	-11.436
43.396	-11.602
43.458	-11.720
43.485	-11.865
43.372	-11.879
43.293	-11.778
43.231	-11.663
43.242	-11.520
43.251	-11.368
43.363	-11.321
	
43.894	-12.380
43.774	-12.358
43.642	-12.326
43.723	-12.280
43.847	-12.337
43.896	-12.376
	
44.503	-12.117
44.519	-12.241
44.518	-12.387
44.439	-12.321
44.335	-12.244
44.327	-12.201
44.446	-12.146
44.499	-12.117
	
45.243	-12.806
45.236	-12.938
45.164	-13.014
45.124	-12.901
45.059	-12.786
45.150	-12.758
45.237	-12.806
	
44.305	-16.266
45.121	-16.085
46.113	-15.936
46.841	-15.435
47.348	-14.814
47.745	-14.096
48.297	-13.482
49.024	-12.175
50.028	-14.332
49.642	-15.445
49.267	-18.076
48.594	-20.252
47.657	-23.244
46.477	-25.133
43.997	-24.932
43.170	-22.663
43.721	-21.050
44.129	-18.811
44.316	-16.553
44.305	-16.266
	
55.121	-20.988
55.507	-21.411
55.121	-20.988
	
57.392	-20.075
57.293	-20.501
57.392	-20.075
	
34.151	-0.93810
33.809	-1.4922
33.346	-2.0683
33.148	-2.4670
32.387	-2.3119
31.836	-2.4559
31.781	-0.89370
	
30.000	-6.2297
30.755	-7.7859
31.163	-8.5539
	
34.878	-13.515
34.914	-13.780
35.166	-14.178
35.101	-14.318
34.850	-14.094
34.548	-14.150
34.512	-13.689
34.332	-13.200
34.224	-12.786
33.993	-12.294
34.202	-11.872
34.245	-11.330
34.202	-10.807
34.231	-10.524
34.008	-10.178
33.900	-9.8375
33.929	-9.6745
34.044	-9.5466
	
30.000	-6.8253
30.237	-7.3135
30.579	-8.1481
	
30.634	-8.2359
31.163	-8.5539
	
34.410	0.0000
34.813	-0.25090
34.151	-0.93810
	
32.550	0.0000
31.902	-0.50580
31.781	-0.89370
	
43.028	0.0000
42.843	-0.15950
42.634	-0.16670
42.634	-0.31050
42.490	-0.58390
42.123	-1.0012
41.821	-1.3464
41.583	-1.6341
	
41.583	-1.6341
41.440	-1.8139
40.972	-2.1087
40.569	-2.5400
40.252	-3.1579
39.907	-3.8401
39.670	-4.3783
39.361	-4.6222
39.339	-4.6467
	
39.928	-5.0879
39.840	-4.9223
39.928	-5.0879
	
39.388	-5.7610
